gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.37942338,20250904135256441,None,-3,-2,0,-2,0,-3,-2,-4,1757008376440437078
0,0.379628897,20250904135256441,None,-2,-6,-5,-7,-3,-1,-1,0,1757008376440649986
0,0.386593342,20250904135256448,None,-4,0,-5,5,1,0,0,0,1757008376447680711
0,0.386781931,20250904135256448,None,0,12,2,1,-1,0,2,2,1757008376447878599
0,0.394181252,20250904135256456,None,-1,-4,3,-1,-2,-1,0,-4,1757008376455192565
0,0.394453049,20250904135256456,None,3,-3,2,1,5,0,1,0,1757008376455437660
0,0.408991099,20250904135256470,None,-2,-4,-6,-5,-6,-3,-3,-1,1757008376470072507
0,0.409195424,20250904135256471,None,-5,-4,2,2,-2,-3,1,2,1757008376470275640
0,0.416270018,20250904135256478,None,3,6,-2,-4,0,-2,1,2,1757008376477554321
0,0.416477919,20250904135256478,None,-12,-6,1,-1,0,1,-2,1,1757008376477738380
0,0.423774004,20250904135256485,None,0,2,2,0,0,-2,-3,-5,1757008376485094070
0,0.423933506,20250904135256485,None,0,-3,-4,3,-4,-1,4,2,1757008376485270977
0,0.438450098,20250904135256500,None,1,-4,2,-1,-1,-1,-3,-6,1757008376499897718
0,0.438587904,20250904135256500,None,-4,3,3,-1,0,-1,-2,-7,1757008376500046014
0,0.446050883,20250904135256507,None,0,-1,-2,9,0,-1,-1,-4,1757008376507499694
0,0.446203471,20250904135256508,None,-7,0,-1,-8,-5,-1,2,-1,1757008376507637739
0,0.453444958,20250904135256515,None,10,-4,-1,-3,0,-2,-1,1,1757008376514844894
0,0.453601361,20250904135256515,None,5,0,2,3,3,-2,1,3,1757008376514995574
0,0.468641758,20250904135256530,None,-1,-5,-5,-1,-2,-1,0,0,1757008376529846668
0,0.46883607,20250904135256530,None,-3,3,3,3,-1,0,-2,-4,1757008376529977560
0,0.476260424,20250904135256538,None,-1,15,-1,-3,1,-1,0,-1,1757008376537548542
0,0.476483822,20250904135256538,None,-1,-13,1,0,-4,-3,1,8,1757008376537734031
0,0.48388052,20250904135256545,None,1,-5,-9,3,0,1,-1,-6,1757008376544995784
0,0.484107733,20250904135256546,None,-7,-12,5,2,2,-1,-3,-10,1757008376545178890
0,0.498553753,20250904135256560,None,3,13,0,-1,1,-2,2,0,1757008376559858798
0,0.498754263,20250904135256560,None,0,-5,-2,-1,0,1,3,4,1757008376560031652
0,0.505786658,20250904135256567,None,2,3,0,1,-2,-3,-1,-6,1757008376567296981
0,0.505909443,20250904135256567,None,1,-2,-4,-3,1,-1,2,2,1757008376567410469
0,0.513213873,20250904135256575,None,-4,-4,-6,-1,1,-2,-1,-2,1757008376574760675
0,0.513283253,20250904135256575,None,-1,3,4,2,-4,-3,0,0,1757008376574858188
0,0.528501273,20250904135256590,None,-1,0,-3,-2,-1,-5,-3,0,1757008376589740991
0,0.528678179,20250904135256590,None,1,-1,-2,-2,-2,0,-2,-4,1757008376589864730
0,0.536022425,20250904135256597,None,-3,0,2,3,-3,-3,0,0,1757008376597291707
0,0.536199332,20250904135256598,None,-2,-1,-1,6,2,1,2,0,1757008376597412109
0,0.543600321,20250904135256605,None,2,-2,0,-5,-3,0,-4,1,1757008376604764938
0,0.543787957,20250904135256605,None,1,-4,-2,-5,1,1,0,-2,1757008376604860305
0,0.558852911,20250904135256620,None,-1,-4,-3,-4,-3,-1,2,-3,1757008376620211601
0,0.559035063,20250904135256620,None,-2,0,3,-3,6,0,-2,5,1757008376620327472
0,0.56582594,20250904135256627,None,-2,-3,-7,-3,-3,0,-5,-7,1757008376627316236
0,0.565949679,20250904135256627,None,0,-10,-1,-2,-2,0,0,0,1757008376627449035
0,0.573273182,20250904135256635,None,-5,38,6,-2,0,-1,-4,-3,1757008376634765863
0,0.573427201,20250904135256635,None,1,-12,-4,6,2,4,-2,-1,1757008376634902715
0,0.588701964,20250904135256650,None,10,-5,-3,-11,-5,-4,-2,0,1757008376649766445
0,0.588968754,20250904135256650,None,-3,-5,-3,-6,-5,-2,1,-3,1757008376649922132
0,0.596132994,20250904135256658,None,-5,-1,-5,2,1,1,-1,0,1757008376657433032
0,0.596289635,20250904135256658,None,-2,0,6,2,0,-3,-3,-2,1757008376657602071
0,0.6035707,20250904135256665,None,-3,2,2,0,0,0,3,9,1757008376664906978
0,0.603752852,20250904135256665,None,0,0,-3,1,3,-1,-2,-8,1757008376665077209
0,0.618688822,20250904135256680,None,0,-3,-1,-4,-3,0,0,-6,1757008376679925680
0,0.618855715,20250904135256680,None,-1,0,-2,2,2,2,-1,-1,1757008376680107355
0,0.626212836,20250904135256688,None,-4,1,-1,-2,1,-1,-1,3,1757008376687458992
0,0.626440287,20250904135256688,None,-4,-1,-4,1,0,-2,-3,-4,1757008376687634468
0,0.633630038,20250904135256695,None,-1,1,0,0,-3,0,2,1,1757008376694945573
0,0.633776904,20250904135256695,None,-1,-4,-7,-3,-2,-1,1,0,1757008376695113897
0,0.648575783,20250904135256710,None,-2,-7,0,0,0,-2,-2,12,1757008376709962844
0,0.648773194,20250904135256710,None,-1,20,4,-2,-7,-3,-2,-4,1757008376710145711
0,0.656222344,20250904135256718,None,0,-25,-3,0,-1,-1,3,-1,1757008376717566490
0,0.656403542,20250904135256718,None,3,21,3,-3,-1,-2,-4,-3,1757008376717730283
0,0.663822651,20250904135256725,None,0,-6,-2,-3,1,-3,-3,2,1757008376725030422
0,0.664017201,20250904135256725,None,1,-6,-2,-1,-1,-5,-1,-1,1757008376725210666
0,0.678953171,20250904135256740,None,2,-3,3,0,0,1,1,0,1757008376740136623
0,0.679144145,20250904135256741,None,0,0,2,0,0,-1,-1,-4,1757008376740357875
0,0.686428309,20250904135256748,None,-3,-4,-3,0,1,-1,1,-2,1757008376747591972
0,0.686609745,20250904135256748,None,2,2,1,-3,1,-3,-4,1,1757008376747762441
0,0.694234133,20250904135256756,None,-3,-1,0,7,-1,0,-1,-4,1757008376755330801
0,0.694469452,20250904135256756,None,0,1,-8,-7,0,0,-1,0,1757008376755536079
0,0.709193945,20250904135256771,None,-4,3,6,9,2,1,-1,-2,1757008376770176410
0,0.709450007,20250904135256771,None,-9,-1,-5,-11,-8,-3,0,1,1757008376770422697
0,0.716494799,20250904135256778,None,-1,-2,-4,-3,0,0,-2,-2,1757008376777684926
0,0.71667862,20250904135256778,None,7,-1,2,1,1,0,0,10,1757008376777882575
0,0.723845244,20250904135256785,None,4,2,0,1,-1,-1,0,-3,1757008376785108566
0,0.724022627,20250904135256785,None,0,-2,-2,0,-1,3,-5,-11,1757008376785292863
0,0.738780261,20250904135256800,None,-2,-2,-1,0,-1,-3,1,-1,1757008376800046443
0,0.73899436,20250904135256800,None,-2,-1,0,0,0,0,-4,3,1757008376800257682
0,0.745926857,20250904135256807,None,-3,1,-7,-7,-2,0,0,-5,1757008376807430744
0,0.746028424,20250904135256807,None,-5,-11,-3,-1,-6,-2,-2,-10,1757008376807559728
0,0.7534194,20250904135256815,None,2,30,7,4,3,1,1,0,1757008376814884662
0,0.753552676,20250904135256815,None,-2,-8,-1,-6,-3,-1,2,4,1757008376815015077
0,0.768688441,20250904135256830,None,-2,-10,-3,0,5,0,0,-2,1757008376829918622
0,0.768883706,20250904135256830,None,0,0,-2,2,0,-1,-2,-3,1757008376830058097
0,0.77661109,20250904135256838,None,-3,-3,-2,-4,-6,-4,-1,0,1757008376837740898
0,0.776790619,20250904135256838,None,-2,-4,-3,-1,0,0,-1,3,1757008376837952852
0,0.784110308,20250904135256846,None,-1,3,3,0,-1,-1,1,-2,1757008376845181226
0,0.784311533,20250904135256846,None,2,7,5,2,-2,1,0,1,1757008376845416307
0,0.798719407,20250904135256860,None,-3,-6,-2,0,2,-1,1,0,1757008376860084056
0,0.798885346,20250904135256860,None,-1,-4,-1,-1,0,0,0,-3,1757008376860318660
0,0.806054593,20250904135256867,None,-1,1,-5,0,-3,-1,-1,-1,1757008376867592811
0,0.806246996,20250904135256868,None,4,-3,2,-2,-1,-1,-1,0,1757008376867775201
0,0.813776255,20250904135256875,None,-3,-11,-5,-9,3,0,-2,-2,1757008376875067710
0,0.814133883,20250904135256876,None,-8,21,3,2,0,-2,-3,-4,1757008376875271081
0,0.836875201,20250904135256898,None,-5,-2,1,1,1,0,3,-1,1757008376898330211
0,0.837112666,20250904135256899,None,-11,-6,-6,5,-2,-3,3,13,1757008376898553848
