gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.370910167,20250904135910102,None,-1,-3,-2,4,1,-2,-3,1,1757008750101944923
0,0.378266334,20250904135910109,None,-2,0,-1,-1,4,-3,-2,0,1757008750109364509
0,0.378451109,20250904135910109,None,-2,1,-3,2,-4,-2,-3,-1,1757008750109498977
0,0.393424511,20250904135910124,None,0,-2,0,-2,-5,-3,-4,-1,1757008750124554634
0,0.393594503,20250904135910125,None,0,-4,-2,-2,-1,-3,1,0,1757008750124710798
0,0.400674104,20250904135910132,None,-1,0,-2,-2,-2,0,-3,2,1757008750131831407
0,0.401000738,20250904135910132,None,2,-4,-1,-1,0,-2,0,-3,1757008750131937503
0,0.408457279,20250904135910139,None,-3,2,0,1,-1,-3,0,1,1757008750139482021
0,0.408654451,20250904135910140,None,-3,-3,-2,-2,-3,-2,-1,0,1757008750139657258
0,0.423341512,20250904135910154,None,-2,2,-1,0,-4,0,0,3,1757008750154428958
0,0.423525571,20250904135910155,None,-5,-1,-4,0,-3,-5,-1,-8,1757008750154605150
0,0.43072009,20250904135910162,None,-2,-1,1,0,3,10,-1,3,1757008750161838531
0,0.430949926,20250904135910162,None,0,-1,2,0,-6,-7,2,3,1757008750161956548
0,0.438249588,20250904135910169,None,-1,1,0,1,0,-3,1,-4,1757008750169371843
0,0.438437461,20250904135910169,None,-3,-6,-1,-3,1,-1,-1,1,1757008750169495582
0,0.453329324,20250904135910184,None,-1,0,-1,3,1,1,-11,0,1757008750184444427
0,0.453513383,20250904135910185,None,-2,1,-1,-3,0,1,-2,3,1757008750184571504
0,0.460738658,20250904135910192,None,-7,0,-3,0,-4,-1,0,-8,1757008750191861867
0,0.461244344,20250904135910192,None,9,1,1,-3,0,2,-1,-3,1757008750191969633
0,0.468164205,20250904135910199,None,-2,-1,-1,-3,-1,-1,3,1,1757008750199343919
0,0.468333005,20250904135910199,None,-6,-3,-2,0,5,-2,-8,0,1757008750199472904
0,0.483288288,20250904135910214,None,0,1,0,2,-2,3,5,2,1757008750214371919
0,0.48348689,20250904135910214,None,-2,-2,-1,3,-2,-2,-5,-6,1757008750214500904
0,0.499026537,20250904135910230,None,0,0,-2,-1,0,1,-1,-2,1757008750230076789
0,0.499232292,20250904135910230,None,1,-2,-3,-1,1,-3,1,-2,1757008750230192184
0,0.499667882,20250904135910231,None,0,0,1,-1,0,1,0,-2,1757008750230856895
0,0.499932527,20250904135910231,None,-3,-4,1,8,-2,-6,-3,-1,1757008750230982542
0,0.513236999,20250904135910244,None,2,-1,-2,-20,-4,-1,-1,3,1757008750244380474
0,0.513420105,20250904135910244,None,0,-3,-1,1,0,3,2,-2,1757008750244486808
0,0.520909547,20250904135910252,None,0,0,-4,3,4,1,-3,1,1757008750251876354
0,0.521119117,20250904135910252,None,-3,-3,0,2,3,0,-1,-1,1757008750251985311
0,0.535976409,20250904135910267,None,0,-5,1,3,-1,1,-3,-2,1757008750266948461
0,0.536186218,20250904135910267,None,0,2,-5,0,-3,0,3,0,1757008750267071723
0,0.543414354,20250904135910274,None,-7,-1,-1,0,-1,-1,1,-2,1757008750274428844
0,0.543602943,20250904135910275,None,6,1,0,4,1,-6,2,0,1757008750274545669
0,0.551161766,20250904135910282,None,-1,1,-1,-3,-5,7,-1,-1,1757008750281911373
0,0.551429748,20250904135910282,None,-3,-1,-2,-3,1,-4,3,1,1757008750282019138
0,0.566314458,20250904135910297,None,-1,-6,-3,0,-1,-7,-5,2,1757008750297019720
0,0.566492319,20250904135910297,None,0,2,-4,-2,0,-1,-1,1,1757008750297208309
0,0.574240684,20250904135910305,None,4,0,-1,0,-3,-2,1,-2,1757008750304751157
0,0.574493169,20250904135910305,None,-3,-3,-2,-1,0,1,-1,-3,1757008750304940223
0,0.581358194,20250904135910312,None,0,0,-3,-1,-6,3,1,0,1757008750312204837
0,0.581546068,20250904135910313,None,-1,2,-2,1,1,-2,1,2,1757008750312416076
0,0.596483469,20250904135910327,None,-3,-3,-5,0,5,-1,2,-1,1757008750327262878
0,0.596663951,20250904135910328,None,-2,2,2,0,-1,-4,-6,-4,1757008750327444314
0,0.603854656,20250904135910335,None,-1,-3,2,-5,-2,0,3,-3,1757008750334726095
0,0.604038477,20250904135910335,None,1,2,1,-3,0,0,1,2,1757008750334908246
0,0.611489057,20250904135910342,None,-1,-1,2,-1,2,-3,-1,-5,1757008750342285156
0,0.611660718,20250904135910343,None,-1,-2,-3,1,-1,-3,0,-2,1757008750342462778
0,0.626300096,20250904135910357,None,1,1,-2,-2,-1,3,-4,-2,1757008750357133865
0,0.626510858,20250904135910357,None,0,-3,1,-1,2,-4,2,2,1757008750357352733
0,0.634005308,20250904135910365,None,-3,0,-2,-4,-4,-8,-3,-1,1757008750364741086
0,0.634180545,20250904135910365,None,2,-2,1,0,-1,1,-4,4,1757008750364923477
0,0.641307115,20250904135910372,None,-1,1,-3,-1,2,2,-4,-4,1757008750372138977
0,0.64147067,20250904135910372,None,-2,-2,-1,-1,1,2,-3,-3,1757008750372312545
0,0.656296491,20250904135910387,None,-1,-4,-3,-2,2,0,-3,-5,1757008750387172937
0,0.65647149,20250904135910387,None,0,-2,-1,-3,-1,0,5,-3,1757008750387376070
0,0.664003849,20250904135910395,None,0,-1,-3,-2,-1,-3,-4,-1,1757008750394726037
0,0.664185524,20250904135910395,None,-2,1,1,8,0,0,1,-1,1757008750394909858
