gt,time_elapsed,current_time,current_task,motor_position,futek,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.035444498,20250904112731514,None,6,230.35494995117188,1,0,-3,-2,-1,-3,-9,-9,1756999651512166500
0,0.035722494,20250904112731514,None,6,230.35494995117188,4,-2,1,1,0,2,6,1,1756999651512255191
0,0.048098087,20250904112731527,None,6,229.87901306152344,-4,0,1,-1,-2,-6,-14,-5,1756999651526799201
0,0.048248053,20250904112731527,None,6,229.87901306152344,-1,0,-1,-3,1,5,11,3,1756999651526923418
0,0.055954933,20250904112731534,None,6,229.87901306152344,0,-1,3,2,0,-1,0,1,1756999651534538984
0,0.05613184,20250904112731535,None,6,229.87901306152344,-3,0,-1,-1,-1,-6,-15,-5,1756999651534711360
0,0.063071489,20250904112731542,None,6,231.3068389892578,-1,1,-2,0,4,-1,6,2,1756999651541795015
0,0.063199759,20250904112731542,None,6,231.3068389892578,0,3,-1,0,0,2,2,0,1756999651541916131
0,0.078104496,20250904112731557,None,6,231.5447998046875,-1,0,-1,-6,-3,-4,-5,-1,1756999651556776285
0,0.078208447,20250904112731557,None,6,231.5447998046875,-3,-1,-1,-1,-1,-1,-5,-3,1756999651556909084
0,0.085492849,20250904112731564,None,6,230.35494995117188,1,-2,-1,0,-3,4,4,4,1756999651564270496
0,0.085584879,20250904112731564,None,6,230.35494995117188,0,0,-2,1,-3,-1,0,-3,1756999651564379930
0,0.093066931,20250904112731572,None,6,230.35494995117188,1,1,1,1,-1,0,-2,1,1756999651571763277
0,0.093139172,20250904112731572,None,6,230.35494995117188,1,1,-2,-1,0,-9,-17,-7,1756999651571882009
0,0.10828948,20250904112731587,None,6,230.35494995117188,0,-1,0,-2,-3,3,3,-1,1756999651586925983
0,0.10848093,20250904112731587,None,6,230.35494995117188,-1,-1,1,1,4,2,7,6,1756999651587100744
0,0.116045714,20250904112731595,None,6,230.59292602539062,-1,-1,-1,2,0,0,-3,-1,1756999651594436168
0,0.116410017,20250904112731595,None,6,230.59292602539062,-2,0,-4,-1,-5,-9,-8,-4,1756999651594596147
0,0.123230219,20250904112731602,None,6,231.06886291503906,-2,1,0,-4,4,1,1,0,1756999651601872444
0,0.123414517,20250904112731602,None,6,231.06886291503906,2,-1,-1,1,-1,-2,-2,-2,1756999651602051019
0,0.138175488,20250904112731617,None,6,230.1169891357422,-1,1,-2,1,-2,0,1,3,1756999651616828680
0,0.138416052,20250904112731617,None,6,230.1169891357422,-3,0,0,2,-1,-1,-1,0,1756999651616968870
0,0.145661593,20250904112731624,None,6,231.06886291503906,-1,0,1,0,-2,-3,-3,1,1756999651624361038
0,0.145853281,20250904112731624,None,6,231.06886291503906,1,-1,-4,-4,-3,-1,-2,1,1756999651624514579
0,0.153030157,20250904112731632,None,6,229.403076171875,-4,-1,0,-2,3,3,1,-4,1756999651631781339
0,0.15313983,20250904112731632,None,6,229.403076171875,0,0,2,0,2,-2,0,0,1756999651631922960
0,0.168164015,20250904112731647,None,6,229.87901306152344,-1,-3,0,-2,-4,-4,-2,-1,1756999651646814346
0,0.168284893,20250904112731647,None,6,229.87901306152344,2,-1,0,-3,0,2,2,-3,1756999651646941423
0,0.175609589,20250904112731654,None,6,229.87901306152344,-2,0,-3,0,0,-8,-13,-3,1756999651654364824
0,0.175745964,20250904112731654,None,6,229.87901306152344,1,-1,-1,-3,0,1,-1,0,1756999651654508829
0,0.183145046,20250904112731662,None,6,231.06886291503906,-3,-4,0,-2,-1,2,-2,-4,1756999651661856174
0,0.18325901,20250904112731662,None,6,231.06886291503906,-4,-2,-2,-2,-3,-4,6,0,1756999651661993026
0,0.198319197,20250904112731677,None,6,230.83090209960938,5,0,-3,-3,1,5,13,6,1756999651676861524
0,0.198569059,20250904112731677,None,6,230.83090209960938,-1,1,-1,1,-2,1,-3,-2,1756999651677010774
0,0.205704689,20250904112731684,None,6,230.83090209960938,-1,-3,2,-3,1,-4,-6,-4,1756999651684379816
0,0.205877781,20250904112731684,None,6,230.83090209960938,0,-4,-1,0,0,-5,-8,-3,1756999651684517145
0,0.213018894,20250904112731692,None,6,230.83090209960938,-1,-3,-2,1,-3,-4,-7,-5,1756999651691776037
0,0.213135719,20250904112731692,None,6,230.83090209960938,0,0,-4,1,-1,-3,-5,-4,1756999651691874504
0,0.228144169,20250904112731707,None,6,231.3068389892578,2,1,-1,-2,1,2,0,0,1756999651706849336
0,0.228286505,20250904112731707,None,6,231.3068389892578,-1,0,-2,-1,-3,-2,-2,1,1756999651706996202
0,0.235707522,20250904112731714,None,6,229.87901306152344,-5,1,-1,-2,-3,1,-2,-5,1756999651714440822
0,0.235818863,20250904112731714,None,6,229.87901306152344,-1,-4,0,-1,0,2,5,1,1756999651714596271
0,0.243089914,20250904112731722,None,6,231.3068389892578,0,3,0,1,-1,-3,-5,0,1756999651721813678
0,0.243191719,20250904112731722,None,6,231.3068389892578,-2,-2,-3,-5,-2,-4,-8,-3,1756999651721937656
0,0.258256674,20250904112731737,None,6,231.3068389892578,-5,-1,2,0,-2,0,1,-1,1756999651736862659
0,0.258405447,20250904112731737,None,6,231.3068389892578,-1,1,-1,3,-2,0,1,1,1756999651737024545
0,0.265627146,20250904112731744,None,6,231.3068389892578,0,0,-2,1,-3,-7,-16,-2,1756999651744349956
0,0.265769482,20250904112731744,None,6,231.3068389892578,-1,3,2,0,1,7,24,5,1756999651744475364
0,0.27315855,20250904112731752,None,6,230.1169891357422,-2,-1,-1,-1,2,1,-3,0,1756999651751860618
0,0.273320913,20250904112731752,None,6,230.1169891357422,-1,0,-1,1,-1,-1,1,-3,1756999651752038955
0,0.288201809,20250904112731767,None,6,230.59292602539062,0,-1,-2,2,0,4,7,2,1756999651766865968
0,0.288364887,20250904112731767,None,6,230.59292602539062,-2,-7,-1,1,-1,-1,-8,-6,1756999651766993761
0,0.295654297,20250904112731774,None,6,230.59292602539062,-1,-3,1,-2,-3,0,-2,-3,1756999651774389505
0,0.295819283,20250904112731774,None,6,230.59292602539062,0,0,-1,0,1,4,10,3,1756999651774515151
0,0.303113699,20250904112731782,None,6,230.59292602539062,-3,-4,-2,-1,-1,-3,-4,-3,1756999651781849622
0,0.303336382,20250904112731782,None,6,230.59292602539062,-2,-3,-3,-2,0,-7,-19,-7,1756999651781964540
0,0.318134785,20250904112731797,None,6,229.87901306152344,1,1,-2,-2,0,3,18,5,1756999651796830415
0,0.318293333,20250904112731797,None,6,229.87901306152344,1,-3,-1,-1,0,0,-2,-2,1756999651796976089
0,0.325632811,20250904112731804,None,6,231.5447998046875,-2,-1,0,-2,-1,-3,-3,-1,1756999651804341077
0,0.325764179,20250904112731804,None,6,231.5447998046875,-3,1,-1,-3,0,-3,-3,-4,1756999651804449558
0,0.333041191,20250904112731812,None,6,229.87901306152344,-1,-2,0,-1,2,4,2,-1,1756999651811794519
0,0.333167553,20250904112731812,None,6,229.87901306152344,-1,-3,3,1,-1,-4,-14,-3,1756999651811910867
0,0.348168612,20250904112731827,None,6,231.5447998046875,-1,3,-3,0,-2,-3,-7,0,1756999651826856613
0,0.348442555,20250904112731827,None,6,231.5447998046875,1,0,3,0,3,1,6,2,1756999651826996564
0,0.355844021,20250904112731834,None,6,230.1169891357422,0,2,0,1,-1,-5,-8,-5,1756999651834356307
